Strong	Word	Count
189	rumour 	2
189	report 	2
189	audience 	1
189	miscellaneous 	2
190	follow 	91
190	reach 	1
191	hear 	418
191	hearken 	6
191	give audience 	3
191	hearer 	2
191	miscellaneous 	8
192	excess 	1
192	incontinency 	1
193	incontinent 	1
194	without mixture 	1
195	perfect manner 	1
196	most straitest 	1
197	more perfectly 	3
197	more perfect 	1
198	enquire diligently 	2
199	diligently 	2
199	perfect 	1
199	perfectly 	1
199	circumspectly 	1
200	locust 	4
201	place of hearing 	1
202	hearer 	4
203	uncircumcision 	16
203	being circumcised 	2
203	uncircumcised 	1
203	though not circumcised 	1
204	chief corner 	2
205	spoils 	1
206	uttermost part 	2
206	one end 	1
206	other 	1
206	tip 	1
206	top 	1
207	Aquila 	6
208	make of none effect 	2
208	disannul 	1
209	no man forbidding him 	1
210	against (one's) will 	1
211	alabaster box 	3
211	box 	1
212	boasting 	1
212	pride 	1
213	boaster 	2
214	wail 	1
214	tinkle 	1
215	which cannot be uttered 	1
216	dumb 	3
217	salt 	8
218	anoint 	9
219	cockcrowing 	1
220	cock 	12
221	Alexandrian 	1
221	born at Alexander 	1
222	of Alexandria 	2
223	Alexander 	6
224	meal 	2
225	truth 	107
225	truly 	1
225	true 	1
225	verity 	1
226	tell the truth 	1
226	speak the truth 	1
227	true 	23
227	truly 	1
227	truth 	1
228	true 	27
229	grinding 	2
230	of a truth 	6
230	indeed 	6
230	surely 	3
230	truly 	2
230	very 	1
230	miscellaneous 	3
231	fishers 	4
231	fishermen 	1
232	a fishing 	1
233	to salt 	3
234	pollution 	1
235	but 	573
235	yea 	15
235	yet 	11
235	nevertheless 	10
235	howbeit 	9
235	nay 	4
235	therefore 	3
235	save 	2
235	not translated 	2
235	miscellaneous 	8
236	change 	6
237	some other way 	1
238	be an allegory 	1
239	alleluia 	4
240	one another 	76
240	themselves 	12
240	yourselves 	3
240	miscellaneous 	9
241	stranger 	1
242	leap 	2
242	spring up 	1
243	other(s) 	81
243	another 	62
243	some 	11
243	one 	4
243	miscellaneous 	2
244	a busybody in other men's matters 	1
245	stranger 	4
245	another man's 	4
245	strange 	2
245	other men's 	2
245	other 	1
245	alien 	1
246	one of another nation 	1
247	otherwise 	1
248	tread out the corn 	2
248	thresh 	1
249	brute 	2
249	unreasonable 	1
250	aloes 	1
251	salt 	1
252	salt 	1
253	less sorrowful 	1
254	chain 	10
254	bonds 	1
255	unprofitable 	1
256	Alphaeus (father of James) 	4
256	Alphaeus (father of Levi) 	1
257	floor 	2
258	fox 	3
259	to be taken 	1
260	together 	3
260	withal 	3
260	with 	1
260	and 	1
260	miscellaneous 	2
261	unlearned 	1
262	that fadeth not away 	1
